kd,t,v
0.05,2.2006071660434827,8.205709457397461
0.05,2.20178337499965,8.116925239562988
0.05,2.202934625034686,8.138630867004395
0.05,2.2042026660055853,8.170522689819336
0.05,2.205496541049797,8.177907943725586
0.05,2.206631791021209,8.140904426574707
0.05,2.2080732909962535,8.17662239074707
0.05,2.209217666008044,8.148390769958496
0.05,2.210326750006061,8.224123001098633
0.05,2.211515875009354,8.177987098693848
0.05,2.212781458045356,8.150433540344238
0.05,2.2138745000120252,8.134137153625488
0.05,2.215146041009575,8.11230182647705
0.05,2.217062125040684,8.135652542114258
0.05,2.218256125051994,8.094714164733887
0.05,2.219497250043787,8.087942123413086
0.05,2.221716958039906,8.047593116760254
0.05,2.222875000035856,8.08485221862793
0.05,2.2239019160042517,8.091697692871094
0.05,2.2249895830173045,8.064175605773926
0.05,2.2260304579976946,8.13554573059082
0.05,2.227196666004602,7.991368770599365
0.05,2.228416708006989,7.961679458618164
0.05,2.2295515000005253,7.916343688964844
0.05,2.230892457999289,7.999873638153076
0.05,2.2319698750507087,8.003387451171875
0.05,2.2331359580275603,8.016529083251953
0.05,2.234203875006642,7.929780006408691
0.05,2.235390041023493,7.918386459350586
0.05,2.23653162503615,7.893803596496582
0.05,2.2381227500154637,7.960948467254639
0.05,2.239379541017115,7.964045524597168
0.05,2.240603958023712,7.969005584716797
0.05,2.2417882500449196,7.945743083953857
0.05,2.2430113330483437,7.913578987121582
0.05,2.2443080830271356,7.933257102966309
0.05,2.2455063330125995,7.9601969718933105
0.05,2.2465480000246316,8.012703895568848
0.05,2.2479438330046833,7.947362899780273
0.05,2.2491195000475273,7.854209899902344
0.05,2.250279458006844,7.835237979888916
0.05,2.251701250032056,7.942922592163086
0.05,2.2531391250086017,8.01063060760498
0.05,2.254469625011552,7.918003082275391
0.05,2.2557429580483586,7.8541059494018555
0.05,2.2572063750121742,7.813185214996338
0.05,2.2584371660486795,7.799154281616211
0.05,2.2596994580235332,7.831717491149902
0.05,2.2610741250100546,7.961365699768066
0.05,2.2625102080055512,7.905839920043945
0.05,2.264315083040856,7.804048538208008
0.05,2.2656481660087593,7.7114057540893555
0.05,2.266925166011788,7.795633792877197
0.05,2.268228833039757,7.818214416503906
0.05,2.2694804160273634,7.84186315536499
0.05,2.2707386660040356,7.8199238777160645
0.05,2.2728713750257157,7.851078510284424
0.05,2.2744455829961225,7.832970142364502
0.05,2.275888083036989,7.890610694885254
0.05,2.2771097910008393,7.887031078338623
0.05,2.2795735000399873,7.829251289367676
0.05,2.281086541013792,7.894811630249023
0.05,2.2823430410353467,7.9459228515625
0.05,2.283691083022859,7.955764293670654
0.05,2.285038833040744,7.873111724853516
0.05,2.286461666051764,7.8985724449157715
0.05,2.2877837500418536,7.930900573730469
0.05,2.289290916000027,7.918068885803223
0.05,2.2905907499953173,7.926009654998779
0.05,2.291951041028369,7.974653720855713
0.05,2.293311750050634,7.994891166687012
0.05,2.294651791045908,8.012450218200684
0.05,2.2961770000401884,7.940821170806885
0.05,2.298468708002474,7.965951442718506
0.05,2.3004049580194987,7.981351375579834
0.05,2.3045188750256784,8.155891418457031
0.05,2.3070813750382513,8.072199821472168
0.05,2.308723750000354,8.166502952575684
0.05,2.3102632079971954,8.116209983825684
0.05,2.3116312909987755,8.224849700927734
0.05,2.3130561250145547,8.164647102355957
0.05,2.3144807080389,8.213364601135254
0.05,2.315917125029955,8.226457595825195
0.05,2.3176055410294794,8.120288848876953
0.05,2.3190088749979623,8.178141593933105
0.05,2.320268916024361,8.159746170043945
0.05,2.3227305409964174,8.223915100097656
0.05,2.325785082997754,8.198565483093262
0.05,2.3344142910209484,8.23520565032959
0.05,2.335712541011162,8.235865592956543
0.05,2.3370517910225317,8.168123245239258
0.05,2.3383370829978958,8.220749855041504
0.05,2.3395688330056146,8.090614318847656
0.05,2.341075708041899,8.168756484985352
0.05,2.342380916001275,8.163961410522461
0.05,2.3436041660024785,8.116823196411133
0.05,2.3458868750021793,8.126734733581543
0.05,2.347974750038702,8.091344833374023
0.05,2.3494727500365116,8.126386642456055
0.05,2.3506153330090456,8.10767936706543
0.05,2.351660583051853,8.05138874053955
0.05,2.3529393330099992,7.978839874267578
0.05,2.35413591604447,8.037720680236816
0.05,2.3551958330208436,7.9793701171875
0.05,2.356507708027493,8.031428337097168
0.05,2.357674124999903,8.004241943359375
0.05,2.3589262080495246,7.9672722816467285
0.05,2.359959958004765,7.9343132972717285
0.05,2.361181458050851,7.972015380859375
0.05,2.3623662080499344,7.981200695037842
0.05,2.3676013750373386,7.9038166999816895
0.05,2.36918700003298,7.938384532928467
0.05,2.370546375052072,8.012497901916504
0.05,2.37173591600731,8.019196510314941
0.05,2.3729963750229217,7.96767520904541
0.05,2.37435366603313,7.922706127166748
0.05,2.3757478750194423,7.93359375
0.05,2.3775842080358416,7.981716632843018
0.05,2.3792225000215694,8.004558563232422
0.05,2.3805858330451883,7.867852687835693
0.05,2.3871432910091244,7.878392219543457
0.05,2.3883387080277316,7.869274139404297
0.05,2.3894985410152003,7.7891316413879395
0.05,2.3905430410522968,7.8100104331970215
0.05,2.3917214579996653,7.829220294952393
0.05,2.3929670000215992,7.8787994384765625
0.05,2.3940704580163583,7.885835647583008
0.05,2.395174916018732,7.837886333465576
0.05,2.3963399580097757,7.870607376098633
0.05,2.3975297080469318,7.83247184753418
0.05,2.3986136660096236,7.853243827819824
0.05,2.3997666250215843,7.902608394622803
0.05,2.4009354160516523,7.997612476348877
0.05,2.4021229580393992,7.9899420738220215
0.05,2.403409000020474,7.880830764770508
0.05,2.4044963330379687,7.865539073944092
0.05,2.405568750051316,7.888882637023926
0.05,2.4070687500061467,7.970649242401123
0.05,2.4088144580018707,7.956325531005859
0.05,2.4119317910517566,7.968674182891846
0.05,2.4131402909988537,7.929158687591553
0.05,2.414420291024726,7.935046672821045
0.05,2.415744625031948,7.960352420806885
0.05,2.417396291042678,8.060998916625977
0.05,2.4189203749992885,8.009360313415527
0.05,2.423865666030906,8.043469429016113
0.05,2.4251750410185196,8.049596786499023
0.05,2.4264797500218265,8.15310001373291
0.05,2.427782291022595,8.10719108581543
0.05,2.4291769160190597,8.16250228881836
0.05,2.430382999998983,8.156867027282715
0.05,2.431546750012785,8.136627197265625
0.05,2.432797165994998,8.161880493164062
0.05,2.434016708051786,8.174945831298828
0.05,2.4353807080187835,8.16211223602295
0.05,2.4367563750129193,8.246493339538574
0.05,2.4394345410401,8.22486400604248
0.05,2.4409623329993337,8.205764770507812
0.05,2.4423768750275485,8.190564155578613
0.05,2.4438233750406653,8.168034553527832
0.05,2.445259041036479,8.169775009155273
0.05,2.4464943750062957,8.174088478088379
0.05,2.447796416003257,8.202089309692383
0.05,2.4491150000249036,8.243577003479004
0.05,2.4503973750397563,8.254478454589844
0.05,2.4517254999955185,8.210366249084473
0.05,2.4530568750342354,8.1859769821167
0.05,2.45504145801533,8.123477935791016
0.05,2.4563996250508353,8.167224884033203
0.05,2.457703708030749,8.191296577453613
0.05,2.45907345804153,8.213411331176758
0.05,2.460341458034236,8.219075202941895
0.05,2.4616074160439894,8.228607177734375
0.05,2.463001375028398,8.136218070983887
0.05,2.4642875830177218,8.113058090209961
0.05,2.465684458031319,8.057255744934082
0.05,2.4672289160080254,8.141205787658691
0.05,2.4685494580189697,8.178007125854492
0.05,2.4698977500083856,8.174814224243164
0.05,2.471294958028011,8.056281089782715
0.05,2.4727146250079386,8.11917495727539
0.05,2.47401175001869,8.098145484924316
0.05,2.4753052500309423,8.051803588867188
0.05,2.476775750052184,7.962925910949707
0.05,2.478081541019492,8.004387855529785
0.05,2.4793328330270015,7.999279975891113
0.05,2.480665625014808,8.04621410369873
0.05,2.4819487080094405,7.946323871612549
0.05,2.4834737080382183,7.9535136222839355
0.05,2.4848450000281446,7.993527412414551
0.05,2.4863306659972295,7.940389156341553
0.05,2.4875457910238765,8.011183738708496
0.05,2.488713208003901,7.995465278625488
0.05,2.490261916012969,7.9907355308532715
0.05,2.4915508330450393,7.9173994064331055
0.05,2.4926963330362923,7.952695369720459
0.05,2.4937941660173237,7.944251537322998
0.05,2.494831250049174,7.997015953063965
0.05,2.495832208020147,7.982416152954102
0.05,2.4969980000169016,7.967770099639893
0.05,2.498082500009332,7.899458885192871
0.05,2.4993604580522515,7.919770240783691
0.05,2.500531583034899,7.987946510314941
0.05,2.5018854580121115,7.97108268737793
0.05,2.5031746250460856,7.949163913726807
0.05,2.5042621660395525,7.890933036804199
0.05,2.505412625032477,7.849493980407715
0.05,2.5070019580307417,7.847616195678711
0.05,2.5081096250214614,7.8854756355285645
0.05,2.5093052080483176,7.929712295532227
