v_cmd,omega,t,torque
4.029411764705882,4.033600999597917,2.5885367080336437,0.007437441498041153
4.029411764705882,4.033600999597917,2.6025097080273554,0.006151441019028425
4.029411764705882,4.033600999597917,2.615840999991633,0.003260207362473011
4.029411764705882,4.033600999597917,2.628880542004481,0.00596295902505517
4.029411764705882,4.033600999597917,2.6420764999929816,0.004019864369183779
4.029411764705882,4.033600999597917,2.655396791989915,0.001174368429929018
4.029411764705882,4.033600999597917,2.6685439170105383,0.00245281751267612
4.029411764705882,4.033600999597917,2.6813447499880567,0.0056205508299171925
4.029411764705882,4.033600999597917,2.6943542920053005,0.0014438856160268188
4.029411764705882,4.033600999597917,2.7067708329996094,0.00013406614016275853
4.029411764705882,4.033600999597917,2.7190337080392055,0.001010461593978107
4.029411764705882,4.033600999597917,2.731305917026475,0.004540645517408848
4.029411764705882,4.033600999597917,2.743480625038501,0.007097299676388502
4.029411764705882,4.033600999597917,2.7558008750202134,0.004181267227977514
4.029411764705882,4.033600999597917,2.7680600419989787,0.0018426516326144338
4.029411764705882,4.033600999597917,2.7803109170054086,0.0014563070144504309
4.029411764705882,4.033600999597917,2.7925943750306033,0.004542507231235504
4.029411764705882,4.033600999597917,2.804910833016038,0.010776820592582226
4.029411764705882,4.033600999597917,2.817280374991242,0.010757860727608204
4.029411764705882,4.033600999597917,2.8295722500188276,0.008070929907262325
4.029411764705882,4.033600999597917,2.841931958042551,0.00800036545842886
4.029411764705882,4.033600999597917,2.8548232920002192,0.008124285377562046
4.029411764705882,4.033600999597917,2.8674485000083223,0.009259244427084923
4.029411764705882,4.033600999597917,2.880243292020168,0.003636155044659972
4.029411764705882,4.033600999597917,2.8931067920057103,0.0018399759428575635
4.029411764705882,4.033600999597917,2.9061501669930294,0.001424581278115511
4.029411764705882,4.033600999597917,2.9189576670178212,0.0022416478022933006
4.029411764705882,4.033600999597917,2.931458125007339,0.0009769939351826906
4.029411764705882,4.033600999597917,2.944388000003528,-0.0019510185811668634
4.029411764705882,4.033600999597917,2.957597083004657,0.001341675641015172
4.029411764705882,4.033600999597917,2.9713256250252016,0.0028044877108186483
4.029411764705882,4.033600999597917,2.984325000026729,0.0017570998752489686
4.029411764705882,4.033600999597917,2.9971973330248147,0.004423418547958136
5.894117647058823,5.890495956989756,4.196772351861e-08,0.0007619140087626874
5.894117647058823,5.890495956989756,0.012581125018186867,0.0025228981394320726
5.894117647058823,5.890495956989756,0.025643125001806766,0.003839723067358136
5.894117647058823,5.890495956989756,0.038568791991565377,0.006740035023540258
5.894117647058823,5.890495956989756,0.05114445899380371,0.007715280167758465
5.894117647058823,5.890495956989756,0.0637301669921726,0.007116707973182201
5.894117647058823,5.890495956989756,0.0765580419683829,0.004378326702862978
5.894117647058823,5.890495956989756,0.08983954199356958,0.00875761080533266
5.894117647058823,5.890495956989756,0.10244300001068041,0.00868183933198452
5.894117647058823,5.890495956989756,0.11473358399234712,0.004221727140247822
5.894117647058823,5.890495956989756,0.1270689590019174,0.0008636232232674956
5.894117647058823,5.890495956989756,0.1384540839935653,0.002198287285864353
5.894117647058823,5.890495956989756,0.1507160000037402,0.0027501259464770555
5.894117647058823,5.890495956989756,0.1625518340151757,-0.0006818898255005479
5.894117647058823,5.890495956989756,0.17577566701220348,0.0018392883939668536
5.894117647058823,5.890495956989756,0.18809900002088398,0.0056557198986411095
5.894117647058823,5.890495956989756,0.2037569169769995,0.0023251818493008614
5.894117647058823,5.890495956989756,0.21667724999133497,0.007080774754285812
5.894117647058823,5.890495956989756,0.22949695901479572,0.012139401398599148
5.894117647058823,5.890495956989756,0.2435832089977339,0.009299169294536114
5.894117647058823,5.890495956989756,0.2567369170137681,0.013369457796216011
5.894117647058823,5.890495956989756,0.2696556249866262,0.008559389971196651
5.894117647058823,5.890495956989756,0.2818390419706702,0.003206412075087428
5.894117647058823,5.890495956989756,0.29381125001236796,0.0027872321661561728
5.894117647058823,5.890495956989756,0.3065079170046374,0.002886009169742465
5.894117647058823,5.890495956989756,0.3201882499852218,0.0030950589571148157
5.894117647058823,5.890495956989756,0.3326794169843197,0.0014320508344098926
5.894117647058823,5.890495956989756,0.34590062499046326,0.0049490476958453655
5.894117647058823,5.890495956989756,0.358947291970253,0.006608216557651758
5.894117647058823,5.890495956989756,0.3720111669972539,0.0024111983366310596
5.894117647058823,5.890495956989756,0.38462658401113003,0.008701490238308907
5.894117647058823,5.890495956989756,0.39756683399900794,0.014829326421022415
5.894117647058823,5.890495956989756,0.4136910840170458,0.007150400895625353
5.894117647058823,5.890495956989756,0.42708945897175,0.008285069838166237
5.894117647058823,5.890495956989756,0.43997108400799334,0.010178900323808193
5.894117647058823,5.890495956989756,0.4525820420240052,0.004007318057119846
5.894117647058823,5.890495956989756,0.46501604199875146,0.0013858716702088714
5.894117647058823,5.890495956989756,0.47815233399160206,7.838609599275514e-05
5.894117647058823,5.890495956989756,0.490945458994247,0.000808709766715765
