# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 6920
# period  = 20833.339 us/tick
# bpm     = 120.000
# sigma_t = 204.627 us
# k,timestamp_us,residual_us
801,35592296,-200.7
802,35613122,-208.0
803,35633954,-209.3
804,35654790,-206.7
805,35675664,-166.0
806,35696472,-191.4
807,35717286,-210.7
808,35738123,-207.0
809,35758973,-190.4
810,35779790,-206.7
811,35800649,-181.0
812,35821510,-153.4
813,35842314,-182.7
814,35863166,-164.1
815,35884009,-154.4
816,35904948,-48.7
817,35925800,-30.1
818,35946554,-109.4
819,35967407,-89.8
820,35988204,-126.1
821,36009073,-90.4
822,36029938,-58.8
823,36050805,-25.1
824,36071570,-93.4
825,36092467,-29.8
826,36113272,-58.1
827,36134132,-31.5
828,36154906,-90.8
829,36175805,-25.1
830,36196630,-33.5
831,36217452,-44.8
832,36238262,-68.2
833,36259106,-57.5
834,36280005,8.2
835,36300833,2.8
836,36321604,-59.5
837,36342447,-49.8
838,36363305,-25.2
839,36384133,-30.5
840,36404984,-12.9
841,36425807,-23.2
842,36446631,-32.5
843,36467415,-81.9
844,36488253,-77.2
845,36509119,-44.6
846,36529957,-39.9
847,36550749,-81.2
848,36571632,-31.6
849,36592530,33.1
850,36613259,-71.2
851,36634099,-64.6
852,36655023,26.1
853,36675638,-192.3
854,36696457,-206.6
855,36717305,-191.9
856,36738108,-222.3
857,36759005,-158.6
858,36779905,-92.0
859,36800788,-42.3
860,36821692,28.4
861,36842510,13.0
862,36863260,-70.3
863,36884045,-118.6
864,36904802,-195.0
865,36925629,-201.3
866,36946463,-200.7
867,36967299,-198.0
868,36988109,-221.3
869,37008962,-201.7
870,37029786,-211.0
871,37050629,-201.4
872,37071454,-209.7
873,37092316,-181.0
874,37113256,-74.4
875,37134183,19.3
876,37154936,-61.0
877,37175747,-83.4
878,37196628,-35.7
879,37217447,-50.1
880,37238268,-62.4
881,37259118,-45.7
882,37279955,-42.1
883,37300807,-23.4
884,37321615,-48.8
885,37342452,-45.1
886,37363412,81.6
887,37384157,-6.8
888,37404979,-18.1
889,37425786,-44.4
890,37446459,-204.8
891,37467285,-212.1
892,37488177,-153.5
893,37508968,-195.8
894,37529808,-189.1
895,37550653,-177.5
896,37571562,-101.8
897,37592403,-94.2
898,37613270,-60.5
899,37634142,-21.8
900,37654931,-66.2
901,37675756,-74.5
902,37696677,13.2
903,37717420,-77.2
904,37738137,-193.5
905,37758979,-184.9
906,37779911,-86.2
907,37800705,-125.5
908,37821672,8.1
909,37842469,-28.2
910,37863271,-59.6
911,37884004,-159.9
912,37904821,-176.2
913,37925634,-196.6
914,37946461,-202.9
915,37967305,-192.3
916,37988112,-218.6
917,38008964,-199.9
918,38029811,-186.3
919,38050706,-124.6
920,38071467,-196.9
921,38092299,-198.3
922,38113107,-223.6
923,38133978,-186.0
924,38154780,-217.3
925,38175631,-199.6
926,38196455,-209.0
927,38217289,-208.3
928,38238135,-195.7
929,38258961,-203.0
930,38279786,-211.3
931,38300680,-150.7
932,38321450,-214.0
933,38342301,-196.3
934,38363114,-216.7
935,38383962,-202.0
936,38404776,-221.4
937,38425675,-155.7
938,38446520,-144.0
939,38467376,-121.4
940,38488269,-61.7
941,38508958,-206.1
942,38529819,-178.4
943,38550600,-230.7
944,38571446,-218.1
945,38592297,-200.4
946,38613175,-155.7
947,38633937,-227.1
948,38655070,72.6
949,38675726,-104.8
950,38696649,-15.1
951,38717474,-23.4
952,38738320,-10.8
953,38759092,-72.1
954,38779980,-17.5
955,38800813,-17.8
956,38821618,-46.1
957,38842453,-44.5
958,38863358,27.2
959,38884109,-55.1
960,38904965,-32.5
961,38925781,-49.8
962,38946677,12.8
963,38967448,-49.5
964,38988311,-19.8
965,39009094,-70.2
966,39030019,21.5
967,39050782,-48.9
968,39071641,-23.2
969,39092449,-48.5
970,39113284,-46.9
971,39134116,-48.2
972,39154978,-19.5
973,39175767,-63.9
974,39196636,-28.2
975,39217402,-95.6
976,39238176,-154.9
977,39258962,-202.2
978,39279799,-198.6
979,39300708,-122.9
980,39321568,-96.3
981,39342354,-143.6
982,39363311,-19.9
983,39384139,-25.3
984,39405052,54.4
985,39425838,7.1
986,39446477,-187.3
987,39467286,-211.6
988,39488136,-195.0
989,39508942,-222.3
990,39529830,-167.6
991,39550649,-182.0
992,39571467,-197.3
993,39592297,-200.7
994,39613141,-190.0
995,39633975,-189.3
996,39654806,-191.7
997,39675644,-187.0
998,39696463,-201.3
999,39717305,-192.7
1000,39738118,-213.0
1001,39758943,-221.4
1002,39779775,-222.7
1003,39800649,-182.0
1004,39821474,-190.4
1005,39842424,-73.7
1006,39863283,-48.1
1007,39884125,-39.4
1008,39904982,-15.7
1009,39925765,-66.1
1010,39946619,-45.4
1011,39967500,2.3
1012,39988294,-37.1
1013,40009126,-38.4
1014,40029945,-52.8
1015,40050801,-30.1
1016,40071609,-55.4
1017,40092458,-39.8
1018,40113273,-58.1
1019,40134123,-41.5
1020,40154924,-73.8
1021,40175780,-51.1
1022,40196626,-38.5
1023,40217474,-23.8
1024,40238317,-14.1
1025,40259112,-52.5
1026,40279984,-13.8
1027,40300834,2.8
1028,40321669,4.5
1029,40342464,-33.8
1030,40363275,-56.2
1031,40384160,-4.5
1032,40404938,-59.9
1033,40425782,-49.2
1034,40446637,-27.5
1035,40467459,-38.9
1036,40488311,-20.2
1037,40509110,-54.5
1038,40529987,-10.9
1039,40550836,4.8
1040,40571623,-41.6
1041,40592479,-18.9
1042,40613311,-20.2
1043,40634197,32.4
1044,40654954,-43.9
1045,40675831,-0.3
1046,40696683,18.4
1047,40717447,-50.9
1048,40738400,68.7
