# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 2430
# period  = 62500.018 us/tick
# bpm     = 40.000
# sigma_t = 309.010 us
# k,timestamp_us,residual_us
843,75293804,217.0
844,75355804,-283.0
845,75418804,217.0
846,75480804,-283.0
847,75543804,216.9
848,75605804,-283.1
849,75668804,216.9
850,75730804,-283.1
851,75793804,216.9
852,75855804,-283.1
853,75918804,216.8
854,75980804,-283.2
855,76043804,216.8
856,76105804,-283.2
857,76168804,216.8
858,76230804,-283.2
859,76293804,216.7
860,76355804,-283.3
861,76418804,216.7
862,76480804,-283.3
863,76543804,216.7
864,76605804,-283.4
865,76668804,216.6
866,76730804,-283.4
867,76793804,216.6
868,76855804,-283.4
869,76918804,216.6
870,76980804,-283.5
871,77043804,216.5
872,77105804,-283.5
873,77168804,216.5
874,77230804,-283.5
875,77293804,216.4
876,77355804,-283.6
877,77418804,216.4
878,77480804,-283.6
879,77543804,216.4
880,77605804,-283.6
881,77668804,216.3
882,77730804,-283.7
883,77793804,216.3
884,77855804,-283.7
885,77918804,216.3
886,77980804,-283.7
887,78043804,216.2
888,78105804,-283.8
889,78168804,216.2
890,78230804,-283.8
891,78293804,216.2
892,78355804,-283.9
893,78418804,216.1
894,78480804,-283.9
895,78543804,216.1
896,78605804,-283.9
897,78668804,216.1
898,78730804,-284.0
899,78793804,216.0
900,78855804,-284.0
901,78918804,216.0
902,78980804,-284.0
903,79043804,215.9
904,79105804,-284.1
905,79168804,215.9
906,79230804,-284.1
907,79293804,215.9
908,79355804,-284.1
909,79418804,215.8
910,79480804,-284.2
911,79543804,215.8
912,79605804,-284.2
913,79668804,215.8
914,79730804,-284.2
915,79793804,215.7
916,79855804,-284.3
917,79918804,215.7
918,79980804,-284.3
919,80043804,215.7
920,80105804,-284.4
921,80168804,215.6
922,80230804,-284.4
923,80293804,215.6
924,80355804,-284.4
925,80418804,215.6
926,80480804,-284.5
927,80543804,215.5
928,80605804,-284.5
929,80668804,215.5
930,80730804,-284.5
931,80793804,215.4
932,80855804,-284.6
933,80918804,215.4
934,80980804,-284.6
935,81043804,215.4
936,81105804,-284.6
937,81168804,215.3
938,81230804,-284.7
939,81293804,215.3
940,81355804,-284.7
941,81418804,215.3
942,81480804,-284.7
943,81543804,215.2
944,81605804,-284.8
945,81668804,215.2
946,81730804,-284.8
947,81793804,215.2
948,81855804,-284.9
949,81918804,215.1
950,81980804,-284.9
951,82043804,215.1
952,82105804,-284.9
953,82168804,215.1
954,82230804,-285.0
955,82293804,215.0
956,82355804,-285.0
957,82418804,215.0
958,82480804,-285.0
959,82543804,215.0
960,82605804,-285.1
961,82668804,214.9
962,82730804,-285.1
963,82793804,214.9
964,82855804,-285.1
965,82918804,214.8
966,82980804,-285.2
967,83043804,214.8
968,83105804,-285.2
969,83168804,214.8
970,83230804,-285.2
971,83293804,214.7
972,83355804,-285.3
973,83418804,214.7
974,83480804,-285.3
975,83543804,214.7
976,83605804,-285.4
977,83668804,214.6
978,83730804,-285.4
979,83793804,214.6
980,83855804,-285.4
981,83918804,214.6
982,83980804,-285.5
983,84043804,214.5
984,84105804,-285.5
985,84168804,214.5
986,84230804,-285.5
987,84293804,214.5
988,84355804,-285.6
989,84418804,214.4
990,84480804,-285.6
991,84543804,214.4
992,84605804,-285.6
993,84668804,214.3
994,84730804,-285.7
995,84793804,214.3
996,84855804,-285.7
997,84918804,214.3
998,84980804,-285.7
999,85043804,214.2
1000,85105804,-285.8
1001,85168804,214.2
1002,85230804,-285.8
1003,85293804,214.2
1004,85355804,-285.9
1005,85418804,214.1
1006,85480804,-285.9
1007,85543804,214.1
1008,85605804,-285.9
1009,85668804,214.1
1010,85730804,-286.0
1011,85793804,214.0
1012,85855810,-280.0
1013,85918804,214.0
1014,85980804,-286.0
1015,86043804,214.0
1016,86105804,-286.1
1017,86168804,213.9
1018,86230809,-281.1
1019,86293804,213.9
1020,86355804,-286.1
1021,86418804,213.8
1022,86480804,-286.2
1023,86543804,213.8
1024,86605804,-286.2
1025,86668804,213.8
1026,86730804,-286.2
1027,86793804,213.7
1028,86855821,-269.3
1029,86918804,213.7
1030,86980804,-286.3
1031,87043804,213.7
1032,87105804,-286.4
1033,87168804,213.6
1034,87230804,-286.4
1035,87293804,213.6
1036,87355804,-286.4
1037,87418804,213.6
1038,87480804,-286.5
1039,87543804,213.5
1040,87605804,-286.5
1041,87668804,213.5
1042,87730804,-286.5
1043,87793804,213.5
1044,87855804,-286.6
1045,87918804,213.4
1046,87980804,-286.6
1047,88043804,213.4
1048,88105804,-286.6
1049,88168804,213.3
1050,88230804,-286.7
1051,88293804,213.3
1052,88355804,-286.7
1053,88418804,213.3
1054,88480804,-286.7
1055,88543804,213.2
1056,88605804,-286.8
1057,88668804,213.2
1058,88730804,-286.8
1059,88793804,213.2
1060,88855804,-286.9
1061,88918804,213.1
1062,88980804,-286.9
1063,89043804,213.1
1064,89105804,-286.9
1065,89168804,213.1
1066,89230804,-287.0
1067,89293804,213.0
1068,89355804,-287.0
1069,89418804,213.0
1070,89480804,-287.0
1071,89543804,213.0
1072,89605804,-287.1
1073,89668804,212.9
1074,89730804,-287.1
1075,89793804,212.9
1076,89855804,-287.1
1077,89918804,212.8
1078,89980804,-287.2
1079,90043804,212.8
1080,90105804,-287.2
1081,90168804,212.8
1082,90230804,-287.2
1083,90293804,212.7
1084,90355804,-287.3
1085,90418804,212.7
1086,90480804,-287.3
1087,90543804,212.7
1088,90605804,-287.3
1089,90668804,212.6
1090,90730804,-287.4
1091,90793804,212.6
1092,90855804,-287.4
1093,90918804,212.6
1094,90980804,-287.5
1095,91043804,212.5
1096,91105804,-287.5
1097,91168804,212.5
1098,91230804,-287.5
1099,91293804,212.5
1100,91355804,-287.6
1101,91418804,212.4
1102,91480804,-287.6
1103,91543804,212.4
1104,91605804,-287.6
1105,91668804,212.3
1106,91730804,-287.7
1107,91793804,212.3
1108,91855804,-287.7
1109,91918804,212.3
1110,91980804,-287.7
1111,92043804,212.2
1112,92105804,-287.8
1113,92168804,212.2
1114,92230804,-287.8
1115,92293804,212.2
1116,92355804,-287.8
1117,92418804,212.1
1118,92480804,-287.9
1119,92543804,212.1
1120,92605804,-287.9
1121,92668804,212.1
1122,92730804,-288.0
1123,92793804,212.0
1124,92855804,-288.0
1125,92918804,212.0
1126,92980804,-288.0
1127,93043804,212.0
1128,93105804,-288.1
1129,93168804,211.9
1130,93230804,-288.1
1131,93293804,211.9
1132,93355804,-288.1
1133,93418804,211.8
1134,93480804,-288.2
1135,93543804,211.8
1136,93605804,-288.2
1137,93668804,211.8
1138,93730804,-288.2
1139,93793804,211.7
1140,93855804,-288.3
1141,93918804,211.7
1142,93980804,-288.3
1143,94043804,211.7
